5 0.2 0.648253 nan  -0.337433 nan  -696229 nan  -4.00587e+011 nan 0.897199 nan
4.9 0.204082 0.0554041 nan  -0.000726339 2.76275e-006  -280760 nan  -3.95955e+010 nan 0.574819 0.00100258
4.8 0.208333 0.273675 nan  -0.0350119 nan  -280084 nan  -3.928e+010 nan 0.794681 nan
4.7 0.212766 0.187541 nan  -0.0164903 nan  -279799 nan  -3.91538e+010 nan 0.796439 nan
4.6 0.217391 0.665838 nan  -0.361033 nan  -1.67657e+006 nan  -2.39267e+012 nan 0.903159 nan
4.5 0.222222 1.72121 nan  -2.81234 nan  -7.61225e+006 nan  -5.58025e+013 nan 0.976367 nan
4.4 0.227273 0.304851 nan  -0.051714 nan  -845640 nan  -4.76889e+011 nan 0.784194 nan
4.3 0.232558 0.281506 nan  -0.0517454 nan  -846315 nan  -4.77748e+011 nan 0.871576 nan
4.2 0.238095 0.633758 nan  -0.312768 nan  -2.65822e+006 nan  -6.03467e+012 nan 0.890145 nan
4.1 0.243902 0.550888 nan  -0.204503 nan  -1.71392e+006 nan  -2.21091e+012 nan 0.875038 nan
4 0.25 12.2194 nan  -147.533 nan  -4.83644e+007 nan  -2.3186e+015 nan 0.993419 nan
3.9 0.25641 0.563022 nan  -0.199603 nan  -1.27562e+006 nan  -1.08578e+012 nan 0.841254 nan
3.8 0.263158 0.777713 nan  -0.467991 nan  -4.75943e+006 nan  -2.00991e+013 nan 0.900028 nan
3.7 0.27027 0.693678 nan  -0.377667 nan  -3.42696e+006 nan  -9.80626e+012 nan 0.901861 nan
3.6 0.277778 0.398571 nan  -0.116541 nan  -2.82839e+006 nan  -6.40026e+012 nan 0.898078 nan
3.5 0.285714 0.664834 nan  -0.333046 nan  -3.96452e+006 nan  -1.34744e+013 nan 0.873512 nan
3.4 0.294118 1.54065 nan  -2.03618 nan  -5.98949e+006 nan  -3.18348e+013 nan 0.940713 nan
3.3 0.30303 1.54779 nan  -1.9498 nan  -5.68558e+006 nan  -2.8323e+013 nan 0.899096 nan
3.2 0.3125 0.29696 nan  -0.0610669 nan  -3.52091e+006 nan  -9.91783e+012 nan 0.812035 nan
3.1 0.322581 1.90821 nan  -3.03782 nan  -5.64744e+006 nan  -2.79144e+013 nan 0.933884 nan
3 0.333333 4.72991 nan  -21.0269 nan  -2.04061e+007 nan  -3.99666e+014 nan 0.970672 nan
2.9 0.344828 2.17591 nan  -3.88861 nan  -5.05662e+006 nan  -2.13625e+013 nan 0.941449 nan
2.8 0.357143 1.89137 nan  -2.99495 nan  -5.82864e+006 nan  -2.9123e+013 nan 0.934953 nan
2.7 0.37037 1.09089 nan  -0.905211 nan  -5.02193e+006 nan  -2.10365e+013 nan 0.900397 nan
2.6 0.384615 1.11637 nan  -0.917678 nan  -4.45619e+006 nan  -1.58363e+013 nan 0.877345 nan
2.5 0.4 0.455172 nan  -0.101886 nan  -1.8712e+006 nan  -1.75859e+012 nan 0.819492 nan
2.4 0.416667 0.000571192 0.000194763  0.000199436 6.26511e-005  -2207.46 6.64745e+006  2.05111e+009 1.3339e+008 -351.695 221.231
2.39 0.41841 4.75085 nan  -19.5265 nan  -9.08801e+006 nan  -7.33972e+013 nan 0.946403 nan
2.38 0.420168 1.10417 nan  -0.93825 nan  -7.24295e+006 nan  -4.49746e+013 nan 0.895138 nan
2.37 0.421941 6.38358 nan  -36.6339 nan  -1.03385e+007 nan  -9.61984e+013 nan 0.965347 nan
2.36 0.423729 1.03189 nan  -0.880643 nan  -7.23717e+006 nan  -4.48961e+013 nan 0.935698 nan
2.35 0.425532 6.24421 nan  -34.8879 nan  -1.22241e+007 nan  -1.35804e+014 nan 0.959347 nan
2.34 0.42735 0.595838 nan  -0.255216 nan  -6.82304e+006 nan  -3.88288e+013 nan 0.802005 nan
2.33 0.429185 0.289069 nan  -0.0566429 nan  -4.5289e+006 nan  -1.53832e+013 nan 0.850606 nan
2.33 0.429185 0.632819 nan  -0.255378 nan  -5.66111e+006 nan  -2.56386e+013 nan 0.773739 nan
2.31 0.4329 3.24547 nan  -9.18707 nan  -1.20223e+007 nan  -1.30016e+014 nan 0.924422 nan
2.3 0.434783 4.9615 nan  -21.642 nan  -1.10833e+007 nan  -1.09246e+014 nan 0.961535 nan
2.29 0.436681 2.71417 nan  -5.8753 nan  -6.14252e+006 nan  -3.0196e+013 nan 0.929771 nan
2.28 0.438596 3.78984 nan  -11.4831 nan  -6.13549e+006 nan  -3.0118e+013 nan 0.932665 nan
2.27 0.440529 6.30495 nan  -35.7349 nan  -1.42179e+007 nan  -1.83669e+014 nan 0.961418 nan
2.26 0.442478 3.59549 nan  -10.7686 nan  -7.96418e+006 nan  -5.29448e+013 nan 0.942936 nan
2.25 0.444444 1.91724 nan  -2.45228 nan  -3.95653e+006 nan  -1.04456e+013 nan 0.888961 nan
2.24 0.446429 1.06629 nan  -0.880668 nan  -6.59167e+006 nan  -3.47716e+013 nan 0.909272 nan
2.23 0.44843 8.23488 nan  -61.7389 nan  -1.65237e+007 nan  -2.50131e+014 nan 0.967974 nan
2.22 0.45045 1.95992 nan  -2.57774 nan  -4.267e+006 nan  -1.2234e+013 nan 0.889802 nan
2.21 0.452489 1.71196 nan  -1.46605 nan  -2.80165e+006 nan  -3.9272e+012 nan 0.833308 nan
2.2 0.454545 0.00392915 0.00362905  0.00321522 0.00164574  -6817.53 3.70402e+007  9.49737e+009 4.31418e+008 -71.6541 74.022
